bits,mode,num_trials,median_e_A,iqr_e_A,mean_e_A,std_e_A,median_e_B,iqr_e_B,mean_e_B,std_e_B,median_e_pred,iqr_e_pred,mean_e_pred,std_e_pred,median_e_MPC,iqr_e_MPC,mean_e_MPC,std_e_MPC
4,dithered,1,11.5691470243565,0,11.5691470243565,0,55.9485273727455,0,55.9485273727455,0,0.560818340915857,0,0.560818340915857,0,0.6497748769294,0,0.6497748769294,0
5,dithered,1,25.8775243718905,0,25.8775243718905,0,32.6996942632979,0,32.6996942632979,0,0.416132048769853,0,0.416132048769853,0,2.09416328744617,0,2.09416328744617,0
6,dithered,1,23.6032635016885,0,23.6032635016885,0,20.1970964641611,0,20.1970964641611,0,0.223990577798331,0,0.223990577798331,0,2.3090334838878,0,2.3090334838878,0
7,dithered,1,6.89345425139932,0,6.89345425139932,0,10.9649204500174,0,10.9649204500174,0,0.137652128749484,0,0.137652128749484,0,2.1158516283741,0,2.1158516283741,0
8,dithered,1,0.872416310892889,0,0.872416310892889,0,3.86295523320858,0,3.86295523320858,0,0.0732857795741625,0,0.0732857795741625,0,0.779349732390101,0,0.779349732390101,0
9,dithered,1,0.594469062897034,0,0.594469062897034,0,1.18732977841976,0,1.18732977841976,0,0.0389683945327784,0,0.0389683945327784,0,0.488530553608519,0,0.488530553608519,0
10,dithered,1,0.425755570193912,0,0.425755570193912,0,0.308574255446514,0,0.308574255446514,0,0.0247868086282229,0,0.0247868086282229,0,0.245396497407329,0,0.245396497407329,0
11,dithered,1,0.276529642538248,0,0.276529642538248,0,0.0796570610784316,0,0.0796570610784316,0,0.0210468960581397,0,0.0210468960581397,0,0.115914476186769,0,0.115914476186769,0
12,dithered,1,0.123305253083442,0,0.123305253083442,0,0.0341599360052666,0,0.0341599360052666,0,0.018669560621932,0,0.018669560621932,0,0.0185275638977632,0,0.0185275638977632,0
13,dithered,1,0.0399863410561952,0,0.0399863410561952,0,0.0124358733052086,0,0.0124358733052086,0,0.0200637264716515,0,0.0200637264716515,0,0.0762335486817369,0,0.0762335486817369,0
14,dithered,1,0.0142013838321593,0,0.0142013838321593,0,0.00666248833981594,0,0.00666248833981594,0,0.0198819366231292,0,0.0198819366231292,0,0.0708450250455806,0,0.0708450250455806,0
15,dithered,1,0.00404452389094302,0,0.00404452389094302,0,0.00597592537895978,0,0.00597592537895978,0,0.0198667808091949,0,0.0198667808091949,0,0.0762792894024723,0,0.0762792894024723,0
16,dithered,1,0.00161704941898443,0,0.00161704941898443,0,0.00281263395997369,0,0.00281263395997369,0,0.0198241431382974,0,0.0198241431382974,0,0.0732027675697876,0,0.0732027675697876,0
Inf,none,1,0,0,0,0,0,0,0,0,0.0198799308167504,0,0.0198799308167504,0,0.0738485655010591,0,0.0738485655010591,0
