bits,mode,reference_name,run_index,trial_seed,e_A,e_B,e_pred,e_MPC
4,dithered,random_reference,1,2145445,11.5691470243565,55.9485273727455,0.560818340915857,0.6497748769294
5,dithered,random_reference,1,2146445,25.8775243718905,32.6996942632979,0.416132048769853,2.09416328744617
6,dithered,random_reference,1,2147445,23.6032635016885,20.1970964641611,0.223990577798331,2.3090334838878
7,dithered,random_reference,1,2148445,6.89345425139932,10.9649204500174,0.137652128749484,2.1158516283741
8,dithered,random_reference,1,2149445,0.872416310892889,3.86295523320858,0.0732857795741625,0.779349732390101
9,dithered,random_reference,1,2150445,0.594469062897034,1.18732977841976,0.0389683945327784,0.488530553608519
10,dithered,random_reference,1,2151445,0.425755570193912,0.308574255446514,0.0247868086282229,0.245396497407329
11,dithered,random_reference,1,2152445,0.276529642538248,0.0796570610784316,0.0210468960581397,0.115914476186769
12,dithered,random_reference,1,2153445,0.123305253083442,0.0341599360052666,0.018669560621932,0.0185275638977632
13,dithered,random_reference,1,2154445,0.0399863410561952,0.0124358733052086,0.0200637264716515,0.0762335486817369
14,dithered,random_reference,1,2155445,0.0142013838321593,0.00666248833981594,0.0198819366231292,0.0708450250455806
15,dithered,random_reference,1,2156445,0.00404452389094302,0.00597592537895978,0.0198667808091949,0.0762792894024723
16,dithered,random_reference,1,2157445,0.00161704941898443,0.00281263395997369,0.0198241431382974,0.0732027675697876
Inf,none,random_reference,0,NaN,0,0,0.0198799308167504,0.0738485655010591
