step_index,t_s,solve_time_ms,solve_iterations,solve_converged
0,0.001,0.07849998655728996,10,False
1,0.002,0.05408300785347819,10,False
2,0.003,0.050709000788629055,10,False
3,0.004,0.04891699063591659,10,False
4,0.005,0.04866698873229325,10,False
5,0.006,0.05125001189298928,10,False
6,0.007,0.0618330086581409,10,False
7,0.008,0.058290985180065036,10,False
8,0.009000000000000001,0.050125003326684237,10,False
9,0.010000000000000002,0.048582995077595115,10,False
10,0.011000000000000003,0.047582987463101745,10,False
11,0.012000000000000004,0.04841701593250036,10,False
12,0.013000000000000005,0.0485840137116611,10,False
13,0.014000000000000005,0.04812501720152795,10,False
14,0.015000000000000006,0.04804099444299936,10,False
15,0.016000000000000007,0.06254101754166186,10,False
16,0.017000000000000008,0.048792018787935376,10,False
17,0.01800000000000001,0.04754198016598821,10,False
18,0.01900000000000001,0.05033399793319404,10,False
19,0.02000000000000001,0.04954199539497495,10,False
