t_s,Fb,Mbx,Mby,Mbz
0.001,0.03202505315017211,-0.010888451433731742,-0.008094873044656956,-0.006971634384763108
0.002,0.07240533846086052,-0.0063319260267565335,-0.003967130634901393,-0.006053200719716677
0.003,0.11688773179987708,-0.003264228656273499,-0.0007316547469621745,-0.005207672197055545
0.004,0.16120602178043095,-0.0012091246689536809,0.0018020978804658145,-0.004474328285673653
0.005,0.2011017329333779,0.00016125932408191682,0.0038034165193565387,-0.0038442115100220764
0.006,0.2430183971957539,0.0010710136101814629,0.005402872931051121,-0.0033078490180350707
0.007,0.28693860013250144,0.001669289016538007,0.006697129343762549,-0.0028573956596589516
0.008,0.33285046522595835,0.0020569483161604328,0.007759492171507583,-0.002485589224575476
0.009000000000000001,0.38074227972588476,0.0023021965261580345,0.008645545700868321,-0.0021857275124566537
0.010000000000000002,0.4306023623827379,0.0024511506553617558,0.00939742698581584,-0.0019516412476869125
0.011000000000000003,0.48241897132900063,0.0025349895354462074,0.010047071793351115,-0.0017776618511955822
0.012000000000000004,0.5361802478232336,0.002574790061940211,0.010618678574546219,-0.0016585870913622901
0.013000000000000005,0.5918741773484647,0.002584798319870945,0.011130578364190557,-0.0015896465180274095
0.014000000000000005,0.6494885631915256,0.0025746419705707548,0.011596653517505861,-0.0015664678268977423
0.015000000000000006,0.7090110086805357,0.0025508264733980503,0.012027413918704849,-0.0015850448117115078
0.016000000000000007,0.7704289054446068,0.0025177468931072314,0.012430813208856153,-0.0016417072466591008
0.017000000000000008,0.8337294258745525,0.0024783720664517464,0.012812867734709212,-0.0017330928423248458
0.01800000000000001,0.8988995185237557,0.0024347071772661223,0.013178125830268552,-0.0018561212948689607
0.01900000000000001,0.96592590557445,0.002388106473800059,0.01353002357412011,-0.0020079703740806514
0.02000000000000001,1.0347950817611185,0.002339484647985307,0.013871154452201934,-0.0021860539537058893
